TU,Region,1900 -> 1901,1901 -> 1902,1902 -> 1903,1903 -> 1904,1904 -> 1905,1905 -> 1906,1906 -> 1907,1907 -> 1908,1908 -> 1909,1909 -> 1910,1910 -> 1911,1911 -> 1912,1912 -> 1913,1913 -> 1914,1914 -> 1915,1915 -> 1916,1916 -> 1917,1917 -> 1918,1918 -> 1919,1919 -> 1920,1920 -> 1921,1921 -> 1922,1922 -> 1923,1923 -> 1924,1924 -> 1925,1925 -> 1926,1926 -> 1927,1927 -> 1928,1928 -> 1929,1929 -> 1930,1930 -> 1931,1931 -> 1932,1932 -> 1933,1933 -> 1934,1934 -> 1935,1935 -> 1936,1936 -> 1937,1937 -> 1938,1938 -> 1939,1939 -> 1940,1940 -> 1941,1941 -> 1942,1942 -> 1943,1943 -> 1944,1944 -> 1945,1945 -> 1946,1946 -> 1947,1947 -> 1948,1948 -> 1949,1949 -> 1950,1950 -> 1951,1951 -> 1952,1952 -> 1953,1953 -> 1954,1954 -> 1955,1955 -> 1956,1956 -> 1957,1957 -> 1958,1958 -> 1959,1959 -> 1960,1960 -> 1961,1961 -> 1962,1962 -> 1963,1963 -> 1964,1964 -> 1965,1965 -> 1966,1966 -> 1967,1967 -> 1968,1968 -> 1969,1969 -> 1970,1970 -> 1971,1971 -> 1972,1972 -> 1973,1973 -> 1974,1974 -> 1975,1975 -> 1976,1976 -> 1977,1977 -> 1978,1978 -> 1979,1979 -> 1980,1980 -> 1981,1981 -> 1982,1982 -> 1983,1983 -> 1984,1984 -> 1985,1985 -> 1986,1986 -> 1987,1987 -> 1988,1988 -> 1989,1989 -> 1990,1990 -> 1991,1991 -> 1992,1992 -> 1993,1993 -> 1994,1994 -> 1995,1995 -> 1996,1996 -> 1997,1997 -> 1998,1998 -> 1999,1999 -> 2000,2000 -> 2001,2001 -> 2002,2002 -> 2003,2003 -> 2004,2004 -> 2005,2005 -> 2006,2006 -> 2007,2007 -> 2008,2008 -> 2009,2009 -> 2010,2010 -> 2011,2011 -> 2012,2012 -> 2013,2013 -> 2014,2014 -> 2015,2015 -> 2016,2016 -> 2017,2017 -> 2018,2018 -> 2019,2019 -> 2020,2020 -> 2021,2021 -> 2022,2022 -> 2023,2023 -> 2024,2024 -> 2025,2025 -> 2026,2026 -> 2027,2027 -> 2028,2028 -> 2029,2029 -> 2030,2030 -> 2031,2031 -> 2032,2032 -> 2033,2033 -> 2034,2034 -> 2035,2035 -> 2036,2036 -> 2037,2037 -> 2038,2038 -> 2039,2039 -> 2040,2040 -> 2041,2041 -> 2042,2042 -> 2043,2043 -> 2044,2044 -> 2045,2045 -> 2046,2046 -> 2047,2047 -> 2048,2048 -> 2049,2049 -> 2050,2050 -> 2051,2051 -> 2052,2052 -> 2053,2053 -> 2054,2054 -> 2055,2055 -> 2056,2056 -> 2057,2057 -> 2058,2058 -> 2059,2059 -> 2060,2060 -> 2061,2061 -> 2062,2062 -> 2063,2063 -> 2064,2064 -> 2065,2065 -> 2066,2066 -> 2067,2067 -> 2068,2068 -> 2069,2069 -> 2070,2070 -> 2071,2071 -> 2072,2072 -> 2073,2073 -> 2074,2074 -> 2075,2075 -> 2076,2076 -> 2077,2077 -> 2078,2078 -> 2079,2079 -> 2080,2080 -> 2081,2081 -> 2082,2082 -> 2083,2083 -> 2084,2084 -> 2085,2085 -> 2086,2086 -> 2087,2087 -> 2088,2088 -> 2089,2089 -> 2090,2090 -> 2091,2091 -> 2092,2092 -> 2093,2093 -> 2094,2094 -> 2095,2095 -> 2096,2096 -> 2097,2097 -> 2098,2098 -> 2099,2099 -> 2100
TTWFossil,France,1127.75,1159.5,1192.5,1226.5,1261.5,1298.0,1335.25,1374.25,1414.5,1456.5,1500.0,1545.25,1592.25,1641.5,1692.75,1746.5,1802.25,1861.0,1922.0,1986.25,2053.25,2123.5,2197.25,2274.5,2355.5,2440.5,2529.5,2622.75,2720.5,2823.25,2930.75,3043.5,3161.5,3285.5,3415.0,3550.75,3693.0,3841.75,3997.5,4160.5,4331.0,4509.5,4695.75,4890.75,5094.25,5307.5,5529.75,5762.25,6005.0,6258.25,6523.0,6799.25,7087.75,7388.75,7703.0,8030.5,8372.75,8729.75,9101.75,9490.25,9895.25,10317.75,10758.5,11218.0,11697.25,12197.0,12718.5,13261.75,13828.75,14419.5,15035.75,28438.75,30332.25,-3184.5,11788.75,34810.75,4161.25,28586.0,2502.5,8516.75,8294.75,3878.25,4859.0,8781.75,-748.75,23709.25,17204.5,31813.25,14115.75,20285.75,17488.5,13508.75,6300.0,6294.5,5729.75,1786.75,14881.25,23675.0,3594.0,41818.5,10048.5,335.0,2344.75,4689.25,4456.75,22862.0,63003.0,61282.5,47470.5,26383.5,-6297.25,-9249.0,-51350.75,-40739.0,-40739.0,183610.0,185155.25,186711.0,188278.0,189855.75,191444.75,193044.5,194656.0,196278.25,197912.0,199557.25,201214.0,202882.0,204561.75,206253.5,-84454.0,-85239.0,-86029.75,-86826.0,-87628.25,-181938.5,-183553.75,-185180.0,-186818.5,-188468.0,-190130.0,-191803.25,-193488.75,-195186.25,-196895.5,-198617.25,-200351.25,-202097.25,-203856.0,-205627.0,-15219.0,-15358.5,-15498.75,-15640.5,-15782.75,-15926.25,-16071.0,-16216.5,-16363.0,-16510.75,5217.75,5257.25,5297.0,5337.25,5377.5,5418.0,5459.0,5500.0,5541.5,5583.0,5625.25,5667.5,5709.75,5752.75,5795.75,5839.25,5883.0,5926.75,5971.0,6015.75,6060.5,6105.5,6151.25,6196.75,6242.75,6289.25,6335.75,6383.0,6430.0,6477.75,6525.75,6573.75,6622.25,6671.25,6720.5,6770.0,6819.75,6870.0,6920.25,6971.25
TTWElec,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.75,7.75,141.5,284.25,477.25,430.0,701.5,59064.75,59566.5,60071.75,60580.5,61092.75,61608.75,62128.5,62651.5,63178.5,63709.0,64243.25,64781.5,65323.25,65868.75,66418.0,-1965.75,-1998.0,-2030.75,-2063.5,-2096.75,-2182.0,-2216.25,-2250.5,-2285.5,-2320.25,-2355.5,-2391.25,-2427.0,-2463.0,-2499.5,-2536.5,-2573.25,-2610.75,-2648.25,-2686.5,-3758.0,-3805.5,-3853.25,-3901.75,-3950.25,-3999.25,-4048.75,-4098.5,-4148.5,-4199.25,-3783.75,-3831.25,-3878.75,-3926.75,-3975.5,-4024.0,-4073.5,-4123.0,-4173.0,-4223.5,-4274.25,-4325.5,-4377.0,-4429.0,-4481.25,-4534.25,-4587.5,-4641.0,-4695.0,-4749.75,-4804.25,-4859.75,-4915.5,-4971.75,-5028.25,-5085.25,-5143.0,-5200.75,-5259.0,-5318.0,-5377.0,-5437.0,-5497.0,-5557.75,-5618.75,-5680.5,-5742.5,-5805.0,-5867.75,-5931.5
TTWHydrogen,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLDVFossil,France,8231.5,8531.0,8844.0,9169.5,9509.0,9863.0,10234.0,10622.0,11028.5,11455.0,11903.5,12375.0,12871.0,13393.5,13945.0,14526.0,15140.5,15789.5,16475.5,17201.0,17969.0,18781.5,19642.0,20553.0,21518.0,22540.0,23623.0,24771.0,25986.0,27274.5,28639.0,30084.5,31616.5,33238.5,34957.0,36777.0,38704.5,40745.5,42907.0,45194.5,47617.0,50180.5,52894.5,55766.0,58804.5,62020.5,65422.5,69022.0,72829.5,76857.0,81117.0,85623.0,90388.0,95427.5,100756.5,106392.0,112350.0,118650.0,125311.5,132354.0,139799.5,147671.0,155992.5,164789.5,174089.0,183919.5,194311.0,205295.5,216906.5,229179.5,242152.0,411468.5,445337.5,36704.5,226952.0,528649.0,142098.0,468092.0,129928.5,214056.0,215622.5,158520.0,175417.0,235207.5,101448.5,463900.0,377822.0,608379.5,351191.0,455341.5,421809.5,367675.5,258580.0,263493.0,259133.0,197236.0,425297.5,587841.5,247108.0,692214.5,216000.0,230500.0,201000.0,170000.0,100000.0,154493.0,149997.0,-3501.5,99994.0,124925.0,123665.5,22240.0,623886.5,-169337.0,-113774.5,19698.5,16372.5,12938.5,9392.5,5732.5,1956.0,-1939.5,-5958.0,-10101.5,-14372.5,-18775.0,-23311.0,-27985.5,-32799.0,-37757.0,-177945.0,-187422.0,-197152.5,-207140.5,-217393.5,-645837.5,-669698.5,-694147.5,-719198.0,-744861.0,-771151.5,-798080.5,-825664.0,-853914.5,-882846.0,-912473.0,-942811.5,-973874.5,-1005678.5,-1038239.0,-52099.0,-54353.5,-56666.5,-59037.5,-61470.0,-63963.0,-66519.5,-69140.0,-71826.0,-74579.5,52901.5,54082.5,55287.5,56517.5,57771.5,59051.5,60357.0,61689.0,63048.5,64434.5,65849.0,67292.0,68763.5,70265.0,71796.5,73359.0,74952.5,76578.0,78235.5,79927.0,81651.5,83411.0,85205.0,87035.0,88901.5,90805.0,92746.0,94725.5,96744.5,98803.5,100903.5,103044.0,105227.5,107454.0,109724.5,112039.5,114400.0,116807.5,119261.5,121764.0
PLDVElec,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.5,6.0,75.0,1334.5,2760.0,4813.0,4920.0,8462.5,28887.5,28447.5,28447.5,28447.5,28447.5,28447.5,28447.5,28448.0,28447.5,28447.5,28447.5,28447.5,28447.5,28448.0,28447.5,-2846.5,-2846.5,-2847.0,-2846.5,-2846.5,-969.0,-969.0,-969.0,-968.5,-969.0,-969.0,-969.0,-969.0,-969.0,-969.0,-969.0,-969.0,-969.0,-968.5,-969.0,-3563.0,-3563.0,-3563.0,-3563.0,-3562.5,-3563.0,-3563.0,-3563.0,-3562.5,-3563.0,-3354.0,-3354.0,-3354.0,-3354.0,-3354.0,-3353.5,-3354.0,-3354.0,-3354.0,-3354.0,-3354.0,-3354.0,-3353.5,-3354.0,-3354.0,-3354.0,-3354.0,-3354.0,-3354.0,-3354.0,-3353.5,-3354.0,-3354.0,-3354.0,-3354.0,-3354.0,-3354.0,-3353.5,-3354.0,-3354.0,-3354.0,-3354.0,-3354.0,-3354.0,-3353.5,-3354.0,-3354.0,-3354.0,-3354.0,-3354.0
PLDVPlugInHybrid,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.5,917.0,2812.0,6357.5,5620.5,5012.5,5878.0,5878.0,5878.0,5878.0,5878.0,5878.0,5878.5,5878.0,5878.0,5878.0,5878.0,5878.0,-580.0,-579.5,-580.0,-579.5,-580.0,-4845.0,-4845.5,-4845.5,-4845.0,-4845.5,-4845.5,-4845.0,-4845.5,-4845.5,-4845.5,-4845.0,-4845.5,-4845.5,-4845.0,-4845.5,-135.5,-135.0,-135.5,-135.0,-135.5,-135.0,-135.5,-135.5,-135.0,-135.5,-127.5,-127.0,-127.5,-127.5,-127.0,-127.5,-127.5,-127.5,-127.0,-127.5,-127.5,-127.0,-127.5,-127.5,-127.0,-127.5,-127.5,-127.5,-127.0,-127.5,-127.5,-127.0,-127.5,-127.5,-127.5,-127.0,-127.5,-127.5,-127.0,-127.5,-127.5,-127.5,-127.0,-127.5,-127.5,-127.0,-127.5,-127.5,-127.5,-127.0
PLDVHydrogen,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCVFossil,France,2418.0,2494.0,2571.5,2652.5,2735.5,2822.0,2912.0,3006.0,3103.0,3204.5,3311.0,3422.0,3538.0,3660.0,3788.0,3922.5,4063.5,4212.0,4368.5,4533.0,4706.0,4889.5,5081.5,5285.0,5499.5,5725.0,5963.5,6214.5,6480.0,6759.0,7054.0,7364.5,7692.0,8037.0,8401.0,8783.5,9187.5,9612.0,10059.5,10530.5,11026.0,11547.0,12096.0,12673.5,13280.0,13918.0,14589.0,15294.0,16035.5,16814.5,17633.0,18493.0,19396.5,20345.5,21342.5,22389.0,23488.5,24643.0,25855.0,27128.0,28464.0,29866.5,31339.0,32885.0,34508.0,36210.5,37998.5,39874.5,41843.5,43910.5,46079.0,82131.0,88226.5,-537.5,39835.5,102887.5,20353.5,87838.0,16636.0,33582.0,33343.0,21231.5,24238.0,35735.0,8642.5,79719.0,61687.0,105425.0,54312.0,73347.0,65832.5,54583.5,33277.5,33599.0,32198.0,20281.5,61344.5,89695.5,27207.0,522600.5,20542.0,16174.0,16624.0,15552.0,11126.5,11723.0,14698.5,13794.5,8724.5,7241.0,-19797.0,-3813.5,7819.5,41328.0,17214.5,3023.0,4619.0,6126.5,7555.0,8912.5,72374.5,73541.0,74726.0,75929.0,77151.0,85155.0,94899.5,96844.0,98825.0,100842.0,94811.5,96677.5,98577.5,100511.0,102480.0,179185.5,183310.0,187514.5,191801.5,196171.0,200625.0,205165.5,209793.5,214511.0,219318.5,224219.0,229214.0,234303.5,239491.5,244778.0,-33844.5,-36279.5,-38776.0,-41335.5,-43958.5,-46646.5,-49401.0,-52224.0,-55115.0,-58077.5,-39539.5,-42045.0,-44612.5,-47243.5,-49939.5,-52701.0,-55531.0,-58428.0,-61396.5,-64436.0,-67548.0,-70735.0,-73997.0,-77336.5,-80755.0,-84254.0,-87834.5,-91498.5,-95248.5,-99084.0,-103009.0,-107023.5,-111131.0,-115331.0,-119627.5,-124021.5,-128514.0,-133108.5,-137805.5,-142608.5,-147518.5,-152537.0,-157667.5,-162911.5,-168271.0,-173748.0,-179346.0,-185065.5,-190909.5,-196881.5
LCVElec,France,2.0,2.5,2.0,2.5,2.0,2.5,2.5,2.5,2.5,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.5,4.0,4.0,4.0,4.0,4.5,4.5,5.0,5.0,5.0,5.5,5.5,6.0,6.0,6.5,6.5,7.0,7.5,7.5,8.0,8.5,9.0,9.0,9.5,10.0,10.5,11.0,11.5,12.0,13.0,13.0,14.0,14.5,15.5,16.0,16.5,17.5,18.5,19.5,20.0,21.5,22.0,23.5,24.5,25.5,26.5,28.5,29.0,31.0,32.5,34.0,35.5,64.5,69.0,-2.5,30.5,80.0,14.5,67.5,11.5,24.5,24.5,14.5,17.5,26.0,4.5,60.5,46.0,80.0,40.5,54.5,49.0,39.5,23.5,23.5,22.0,13.5,44.5,66.5,18.0,188.0,357.5,164.0,94.5,118.0,-31.5,-9.0,135.5,-259.0,155.5,-256.5,186.5,1731.5,2533.5,1915.0,2186.0,4745.5,4816.5,4887.5,4960.0,5033.0,5107.0,5181.5,5257.5,5333.5,5410.5,5489.0,5567.5,5648.0,5728.0,5810.0,-498.0,-511.0,-523.5,-536.5,-550.0,249.5,248.5,247.0,245.5,244.5,243.0,242.0,240.5,239.0,237.5,236.0,234.5,233.0,231.0,230.0,7659.5,7769.0,7880.5,7992.5,8106.5,8221.0,8337.5,8454.5,8573.5,8693.5,5442.0,5514.5,5587.0,5660.5,5734.5,5810.0,5886.0,5962.5,6040.5,6118.5,6198.0,6278.0,6359.0,6441.0,6523.5,6607.0,6691.5,6777.0,6863.0,6950.0,7038.5,7127.0,7217.5,7308.0,7400.0,7493.0,7586.5,7681.5,7777.5,7874.0,7972.0,8070.5,8170.5,8271.5,8373.5,8476.5,8580.5,8685.5,8792.0,8899.5
LCVPlugInHybrid,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.5,1314.0,1333.5,1353.5,1373.5,1393.5,1414.5,1435.5,1456.0,1477.5,1499.0,1521.0,1542.5,1565.0,1587.5,-119.5,-122.5,-125.0,-128.5,-131.5,59.5,59.5,59.0,59.0,58.5,58.0,58.0,57.5,57.5,56.5,57.0,56.0,55.5,55.5,55.0,1834.0,1860.5,1887.0,1913.5,1941.5,1968.5,1996.0,2024.5,2053.0,2081.5,1303.5,1320.0,1338.0,1355.5,1373.0,1391.0,1409.5,1428.0,1446.0,1465.5,1484.0,1503.0,1523.0,1542.0,1562.0,1582.0,1602.5,1622.5,1643.5,1664.0,1685.5,1706.5,1728.0,1750.0,1772.0,1794.0,1817.0,1839.0,1862.5,1885.5,1908.5,1932.5,1956.5,1980.5,2005.0,2030.0,2054.5,2079.5,2105.5,2131.0
LCVHydrogen,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BusFossil,France,98.0,100.0,102.0,104.0,106.0,108.0,111.0,113.0,116.0,118.0,122.0,125.0,129.0,133.0,136.0,141.0,146.0,151.0,155.0,162.0,167.0,173.0,180.0,187.0,195.0,202.0,211.0,220.0,228.0,239.0,249.0,259.0,272.0,283.0,295.0,309.0,323.0,337.0,353.0,369.0,385.0,404.0,421.0,442.0,461.0,483.0,505.0,529.0,553.0,578.0,605.0,634.0,662.0,693.0,726.0,758.0,794.0,831.0,868.0,909.0,951.0,995.0,1040.0,1088.0,1139.0,1190.0,1246.0,1302.0,1362.0,1425.0,1490.0,2767.0,2960.0,-216.0,1213.0,3418.0,501.0,2847.0,353.0,935.0,919.0,496.0,595.0,980.0,57.0,2447.0,1822.0,3266.0,1541.0,2157.0,1891.0,1506.0,797.0,801.0,748.0,358.0,1673.0,2566.0,554.0,8394.0,1897.0,-978.0,1482.0,1470.0,1660.0,2103.0,2476.0,-750.0,-2337.0,-3113.0,1824.0,1250.0,4866.0,2716.0,2136.0,1616.0,1629.0,1643.0,1656.0,1670.0,1684.0,1699.0,1712.0,1726.0,1741.0,1755.0,1769.0,1784.0,1799.0,1814.0,-2742.0,-2773.0,-2802.0,-2834.0,-2865.0,-6039.0,-6102.0,-6166.0,-6229.0,-6293.0,-6357.0,-6423.0,-6489.0,-6554.0,-6621.0,-6688.0,-6756.0,-6824.0,-6892.0,-6962.0,-506.0,-511.0,-517.0,-522.0,-528.0,-534.0,-539.0,-545.0,-550.0,-557.0,186.0,187.0,188.0,191.0,191.0,194.0,195.0,196.0,198.0,200.0,202.0,203.0,205.0,206.0,209.0,210.0,211.0,214.0,215.0,217.0,219.0,221.0,222.0,224.0,226.0,228.0,230.0,231.0,234.0,235.0,238.0,239.0,241.0,243.0,245.0,247.0,249.0,251.0,253.0,255.0
BusElec,France,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,5.0,5.0,0.0,2.0,6.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,4.0,4.0,6.0,3.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,5.0,2.0,10.0,17.0,19.0,15.0,15.0,-2.0,-5.0,-6.0,-6.0,-10.0,-11.0,-10.0,18.0,82.0,41.0,50.0,269.0,273.0,278.0,283.0,287.0,291.0,297.0,301.0,306.0,310.0,316.0,321.0,326.0,330.0,337.0,9.0,9.0,8.0,9.0,8.0,41.0,42.0,42.0,42.0,42.0,43.0,43.0,44.0,43.0,45.0,44.0,45.0,46.0,45.0,46.0,-1.0,-2.0,-2.0,-3.0,-3.0,-4.0,-4.0,-5.0,-5.0,-5.0,-3.0,-3.0,-4.0,-4.0,-5.0,-5.0,-5.0,-6.0,-7.0,-7.0,-7.0,-8.0,-9.0,-9.0,-9.0,-10.0,-11.0,-11.0,-11.0,-13.0,-12.0,-14.0,-14.0,-14.0,-15.0,-16.0,-16.0,-18.0,-17.0,-18.0,-19.0,-20.0,-20.0,-21.0,-22.0,-23.0,-23.0,-24.0,-24.0,-26.0
